"context" "target"
"effect_bundles_localised_description_xyy_roguelike_44" ""
"effect_bundles_localised_description_xyy_roguelike_45" ""
"effect_bundles_localised_title_xyy_roguelike_the_seven_kings" ""
"effect_bundles_localised_description_xyy_roguelike_57" ""
"missions_localised_description_xyy_roguelike_kill_hlyjdf_dark" ""
"mod_info_xyy_roguelike_max_character_browser_3" ""
"missions_localised_description_xyy_roguelike_kill_hlyjci_dark" ""
"effect_bundles_localised_title_xyy_roguelike_10" ""
"mod_info_xyy_roguelike_40" ""
"map_pins_localised_title_hlyjdi_dark" ""
"incidents_localised_title_xyy_roguelike_enemy_earth_5" ""
"incidents_localised_title_xyy_roguelike_enemy_metal_2" ""
"incidents_localised_title_xyy_roguelike_enemy_metal_3" ""
"incidents_localised_title_xyy_roguelike_enemy_fire_1" ""
"incidents_localised_title_xyy_roguelike_enemy_fire_2" ""
"effect_bundles_localised_title_xyy_roguelike_craft_weapons" ""
"effect_bundles_localised_title_xyy_roguelike_craft_mounts" ""
"mod_xyy_store_main_message_craft" ""
"campaign_payload_ui_details_description_kill_hlyjcj_dark" ""
"missions_localised_title_xyy_roguelike_kill_hlyjda_dark" ""
"missions_localised_title_xyy_roguelike_kill_hlyjdf_dark" ""
"effect_bundles_localised_title_xyy_roguelike_55" ""
"effect_bundles_localised_title_xyy_roguelike_61" ""
"effect_bundles_localised_title_xyy_roguelike_sima_yi" ""
"mod_store_disble_reason_character_dead" ""
"effect_bundles_localised_title_xyy_roguelike_enemy_metal" ""
"effect_bundles_localised_description_xyy_roguelike_enemy_water" ""
"campaign_payload_ui_details_description_kill_hlyjeb_dark" ""
"mod_title_xyy_roguelike_enemy_metal" ""
"effect_bundles_localised_description_xyy_roguelike_5" ""
"mod_info_xyy_roguelike_5" ""
"effect_bundles_localised_description_xyy_roguelike_11" ""
"effect_bundles_localised_title_xyy_roguelike_11" ""
"mod_info_xyy_roguelike_22" ""
"effect_bundles_localised_title_xyy_roguelike_23" ""
"mod_info_xyy_roguelike_33" ""
"effect_bundles_localised_title_xyy_roguelike_34" ""
"effect_bundles_localised_title_xyy_roguelike_39" ""
"effect_bundles_localised_description_xyy_roguelike_49" ""
"effect_bundles_localised_title_xyy_roguelike_51" ""
"dilemmas_localised_title_roguelike_dilemma_first_select" ""
"incidents_localised_title_xyy_roguelike_enemy_water_1" ""
"incidents_localised_description_xyy_roguelike_enemy_water_4" ""
"effect_bundles_localised_title_xyy_roguelike_54" ""
"effect_bundles_localised_description_xyy_roguelike_craft_weapons" ""
"mod_info_xyy_roguelike_craft_weapons" ""
"missions_localised_title_xyy_roguelike_kill_hlyjcj_dark" ""
"missions_localised_title_xyy_roguelike_kill_hlyjck_dark" ""
"missions_localised_title_xyy_roguelike_kill_hlyjcn_dark" ""
"campaign_payload_ui_details_description_kill_hlyjcn_dark" ""
"map_pins_localised_title_hlyjck_dark" ""
"missions_localised_title_xyy_roguelike_kill_hlyjdt_dark" ""
"effect_bundles_localised_description_xyy_roguelike_enemy_fire" ""
"cdir_events_dilemma_choice_details_localised_choice_label_roguelike_dilemma_first_selectFIRST" ""
"effect_bundles_localised_title_xyy_roguelike_59" ""
"effect_bundles_localised_title_xyy_roguelike_max_character_browser_3" ""
"effect_bundles_localised_description_xyy_roguelike_52" ""
"incidents_localised_title_xyy_roguelike_enemy_metal_6" ""
"effect_bundles_localised_title_xyy_roguelike_52" ""
"campaign_payload_ui_details_description_xyy_roguelike_mission_hard" ""
"mod_info_xyy_roguelike_12" ""
"mod_info_xyy_roguelike_46" ""
"incidents_localised_title_xyy_roguelike_enemy_wood_5" ""
"map_pins_localised_description_hlyjci_dark" ""
"effect_bundles_localised_title_xyy_roguelike_42" ""
"effect_bundles_localised_description_xyy_roguelike_33" ""
"mod_info_xyy_roguelike_42" ""
"map_pins_localised_description_hlyjdy_dark" ""
"mod_info_xyy_roguelike_56" ""
"mod_info_xyy_roguelike_1" ""
"mod_info_xyy_roguelike_11" ""
"effect_bundles_localised_title_xyy_roguelike_7" ""
"effect_bundles_localised_title_xyy_roguelike_5" ""
"effect_bundles_localised_description_xyy_roguelike_12" ""
"mod_info_xyy_roguelike_51" ""
"effect_bundles_localised_description_xyy_roguelike_65" ""
"effect_bundles_localised_title_xyy_roguelike_4" ""
"effect_bundles_localised_description_xyy_roguelike_4" ""
"effect_bundles_localised_title_xyy_roguelike_41" ""
"effect_bundles_localised_title_xyy_roguelike_24" ""
"effect_bundles_localised_description_xyy_roguelike_50" ""
"incidents_localised_description_xyy_roguelike_enemy_earth_5" ""
"effect_bundles_localised_description_xyy_roguelike_58" ""
"mod_info_xyy_roguelike_max_character_browser_2" ""
"mod_info_xyy_roguelike_26" ""
"mod_xyy_roguelike_info" ""
"effect_bundles_localised_title_xyy_roguelike_15" ""
"mod_info_xyy_roguelike_4" ""
"mod_info_xyy_roguelike_19" ""
"effect_bundles_localised_description_xyy_roguelike_28" ""
"effect_bundles_localised_description_xyy_roguelike_22" ""
"effect_bundles_localised_description_xyy_roguelike_60" ""
"effect_bundles_localised_description_xyy_roguelike_enemy_earth" ""
"campaign_diplomacy_treaty_availability_reasons_description_roguelike_mode" ""
"missions_localised_description_xyy_roguelike_mission_boss" ""
"effect_bundles_localised_description_xyy_roguelike_42" ""
"map_pins_localised_title_hlyjda_dark" ""
"map_pins_localised_title_hlyjcy_dark" ""
"effect_bundles_localised_title_xyy_roguelike_65" ""
"mod_info_xyy_roguelike_20" ""
"effect_bundles_localised_title_xyy_roguelike_17" ""
"effect_bundles_localised_description_xyy_roguelike_39" ""
"mod_info_xyy_roguelike_39" ""
"effect_bundles_localised_description_xyy_roguelike_15" ""
"effect_bundles_localised_title_xyy_roguelike_33" ""
"effect_bundles_localised_description_xyy_roguelike_20" ""
"campaign_payload_ui_details_description_kill_hlyjdf_dark" ""
"mod_info_xyy_roguelike_craft_armors_1" ""
"effect_bundles_localised_description_xyy_roguelike_enemy_wood" ""
"mod_info_xyy_roguelike_36" ""
"effect_bundles_localised_description_xyy_roguelike_29" ""
"missions_localised_title_xyy_roguelike_mission_boss_2" ""
"effect_bundles_localised_description_xyy_roguelike_6" ""
"mod_info_xyy_roguelike_redraw_1" ""
"missions_localised_title_xyy_roguelike_mission_ready" ""
"mod_xyy_roguelike_description_metal" ""
"mod_info_xyy_roguelike_66" ""
"campaign_payload_ui_details_description_kill_hlyjdy_dark" ""
"campaign_payload_ui_details_description_xyy_roguelike_mission_xyyhlyjf" ""
"incidents_localised_description_xyy_roguelike_enemy_wood_5" ""
"incidents_localised_description_xyy_roguelike_enemy_metal_2" ""
"effect_bundles_localised_description_xyy_roguelike_max_character_browser_1" ""
"map_pins_localised_title_hlyjdy_dark" ""
"key" ""
"#Loc;1;text/!!!xyy_roguelike.loc" ""
